Time,Low,Open,High,Close
1/1/2018 12:00:00 AM,62.21,62.42,64.41,64.065
2/2/2018 12:00:00 AM,69.73,70.07,71.905,69.855
3/3/2018 12:00:00 AM,66.02,69.07,69.725,66.195
4/4/2018 12:00:00 AM,48.925,51.25,52.035,50.5
5/5/2018 12:00:00 AM,58.67,58.7,60.165,59.895
6/6/2018 12:00:00 AM,56.775,57.19,58.385,58.355
7/7/2018 12:00:00 AM,65.98,72.055,72.955,67.02
8/8/2018 12:00:00 AM,58.605,59.315,60.6,60.22
9/9/2018 12:00:00 AM,57.605,59.315,59.62,57.8
10/10/2018 12:00:00 AM,60.21,61.12,62.29,62.07
11/11/2018 12:00:00 AM,66.99,67.685,69.555,68.815
12/12/2018 12:00:00 AM,70.435,72.04,73.19,71.71
1/1/2019 12:00:00 AM,59.76,61.22,63.015,62.015
2/2/2019 12:00:00 AM,60.69,61.08,63.235,62.455
3/3/2019 12:00:00 AM,58.385,61.37,61.415,58.93
4/4/2019 12:00:00 AM,56.27,56.49,57.835,57.83
5/5/2019 12:00:00 AM,46.3,47.77,47.995,46.795
6/6/2019 12:00:00 AM,35.41,37.085,37.325,35.795
7/7/2019 12:00:00 AM,45.26,46.075,46.615,45.41
8/8/2019 12:00:00 AM,46.355,48.49,48.91,46.78
9/9/2019 12:00:00 AM,44.64,44.83,45.785,45.01
10/10/2019 12:00:00 AM,47.835,48.345,49.19,48.935
11/11/2019 12:00:00 AM,61.965,63.28,63.29,62.65
12/12/2019 12:00:00 AM,65.75,65.9,67.275,66.965
1/1/2020 12:00:00 AM,84.355,84.98,86.135,86.045
2/2/2020 12:00:00 AM,134.73,134.74,157.22,156.03
3/3/2020 12:00:00 AM,137.36,142.3,148.735,148.67
4/4/2020 12:00:00 AM,95.05,100.89,102.77,96.19
5/5/2020 12:00:00 AM,136.64,150.995,154.565,140.305
6/6/2020 12:00:00 AM,170.85,171.51,179.795,179.575
7/7/2020 12:00:00 AM,216.1,216.65,227.03,223.86
8/8/2020 12:00:00 AM,288.89,289.8,301.935,296.9
9/9/2020 12:00:00 AM,470.53,502.205,502.48,475.005
10/10/2020 12:00:00 AM,434.49,440.88,448.885,447.89
11/11/2020 12:00:00 AM,392.335,393.83,406.895,400.505
12/12/2020 12:00:00 AM,572.105,597.67,597.67,585.165
